Table: Table_1

,# REG ,# VOTE ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,TOTAL ,NO VOTE ,% NO VT ,
ADAMS ,105002 ,88261 ,31357 ,42916 ,8342 ,102 ,2044 ,171 ,20 ,23 ,34975 ,3306 ,3.7 ,
ALAMOSA ,6017 ,4975 ,1821 ,2601 ,289 ,,96 ,19 ,,2 ,4828 ,147 ,2.9 ,
ARAPAHOE ,-147199 ,130030 ,30148 ,79594 ,15329 ,254 ,2307 ,284 ,24 ,40 ,27930 ,2050 ,1.5 ,
ARCHULETA ,2490 ,2000 ,532 ,1252 ,83 ,,30 ,3 ,,,1900 ,100 ,5.0 ,
BACA ,3256 ,2785 ,551 ,1999 ,106 ,,35 ,1 ,,,2692 ,93 ,3.3 ,
BENT ,2857 ,2401 ,894 ,1206 ,164 ,13 ,42 ,5 ,2 ,4 ,2330 ,71 ,2.9 ,
BOULDER ,110429 ,93276 ,28422 ,40698 ,13712 ,43 ,2630 ,1449 ,60 ,55 ,87069 ,6207 ,6.6 ,
CHAFFEE ,6767 ,5632 ,1583 ,3327 ,432 ,10 ,102 ,20 ,3 ,1 ,5478 ,154 ,2.7 ,
CHEYENNE ,1434 ,1269 ,322 ,816 ,76 ,3 ,19 ,3 ,,,1239 ,30 ,2.3 ,
CLEAR CREEK ,3776 ,3261 ,837 ,1784 ,402 ,,126 ,17 ,4 ,3 ,3173 ,88 ,2.6 ,
CONEJOS ,4653 ,3647 ,1503 ,1597 ,90 ,,40 ,,2 ,,3232 ,415 ,11.3 ,
COSTILLA ,2093 ,1752 ,1036 ,489 ,38 ,,15 ,4 ,1 ,,1583 ,169 ,9.6 ,
CROWLEY ,1780 ,1541 ,472 ,926 ,57 ,1 ,17 ,,,,1473 ,68 ,4.4 ,
CUSTER ,1238 ,1044 ,231 ,674 ,59 ,1 ,41 ,4 ,,,1010 ,34 ,3.2 ,
DELTA ,11336 ,9694 ,2348 ,6179 ,455 ,11 ,160 ,71 ,1 ,2 ,9227 ,467 ,4.8 ,
DENVER ,254027 ,214162 ,85903 ,88398 ,28610 ,393 ,4435 ,1354 ,205 ,210 ,209508 ,4654 ,2.1 ,
DOLORES ,1021 ,848 ,157 ,615 ,32 ,,12 ,1 ,,,817 ,31 ,3.6 ,
DOUGLAS ,13804 ,11925 ,2108 ,8126 ,1058 ,4 ,266 ,28 ,5 ,1 ,11596 ,329 ,2.7 ,
EAGLE ,7782 ,5996 ,1608 ,3061 ,906 ,6 ,193 ,35 ,4 ,3 ,5816 ,180 ,3.0 ,
ELBERT ,3593 ,3203 ,698 ,2107 ,238 ,,74 ,5 ,,,3122 ,81 ,2.5 ,
EL PASO ,123757 ,106248 ,27463 ,66199 ,7886 ,30 ,2042 ,317 ,22 ,31 ,03990 ,4258 ,2.1 ,
FREMONT ,14312 ,12276 ,3952 ,7162 ,731 ,27 ,199 ,33 ,5 ,4 ,12113 ,163 ,1.3 ,
GARFIELD ,11771 ,9469 ,2639 ,5416 ,978 ,14 ,226 ,47 ,3 ,2 ,9325 ,144 ,1.5 ,
GILPIN ,1755 ,1417 ,441 ,694 ,175 ,5 ,35 ,17 ,,,1387 ,30 ,2.1 ,
GRAND ,4530 ,3567 ,820 ,2133 ,413 ,2 ,102 ,8 ,,3 ,3481 ,86 ,2.4 ,
GUNNISON ,6485 ,5109 ,1297 ,2756 ,704 ,10 ,135 ,61 ,6 ,1 ,4970 ,139 ,2.7 ,
HINSDALE ,443 ,359 ,76 ,232 ,13 ,,12 ,3 ,,,336 ,23 ,6.4 ,





Table: Table_2

,,,,,,,,,,,,,
HUERFANC ,4076 ,3199 ,1574 ,1258 ,146 ,,22 ,30 ,,2 3032 ,167 ,5.2 ,
JACKSON ,1260 ,1086 ,283 ,673 ,80 ,1 ,21 ,1 ,,1059 ,27 ,2.4 ,
JEFFERSON ,191330 ,166330 ,41523 ,97008 ,19530 ,73 ,3929 ,474 ,35 ,37 162611 ,3719 ,2.2 ,
KIOWA ,1414 ,1200 ,331 ,754 ,61 ,,12 ,1 ,,1159 ,41 ,3.4 ,
KIT CARSON ,4338 ,3770 ,790 ,2622 ,185 ,1 ,52 ,2 ,,1 3653 ,117 ,3.1 ,
LAKE ,3904 ,3114 ,1213 ,1375 ,289 ,5 ,120 ,16 ,2 ,5 3025 ,89 ,2.8 ,
LA PLATA ,15118 ,12693 ,3034 ,7291 ,1537 ,5 ,225 ,98 ,2 ,9 12201 ,492 ,3.8 ,
LARIMER ,76667 ,65923 ,17072 ,36240 ,8887 ,19 ,1484 ,396 ,13 ,18 64129 ,1794 ,2.7 ,
LAS ANIMAS ,9081 ,7815 ,4117 ,2917 ,278 ,1 ,90 ,4 ,1 ,1 7409 ,406 ,5.1 ,
LINCOLN ,2877 ,2454 ,602 ,1535 ,175 ,,57 ,1 ,,1 2371 ,83 ,3.3 ,
LOGAN ,9946 ,8655 ,2332 ,5238 ,588 ,4 ,122 ,8 ,1 ,8293 ,362 ,4.1 ,
MESA ,39927 ,34497 ,7549 ,22686 ,2004 ,13 ,582 ,71 ,5 ,6 32916 ,1581 ,4.5 ,
MINERAL ,672 ,468 ,125 ,271 ,41 ,,13 ,,,450 ,18 ,3.8 ,
MOFFAT ,6171 ,5013 ,1079 ,3344 ,329 ,8 ,139 ,20 ,,6 4925 ,88 ,1.7 ,
MONTEZUMA ,7370 ,6217 ,1467 ,4120 ,275 ,1 ,124 ,18 ,,1 6006 ,211 ,33 ,
MONTROSE ,11543 ,10189 ,2232 ,6685 ,635 ,5 ,225 ,15 ,3 ,9800 ,389 ,3.8 ,
MORGAN ,10143 ,8516 ,2246 ,5209 ,693 ,29 ,136 ,14 ,4 ,3 8334 ,182 ,2.1 ,
OTERO ,10314 ,8970 ,3294 ,4801 ,572 ,19 ,99 ,11 ,4 ,1 8801 ,169 ,1.8 ,
OURAY ,1406 ,1223 ,237 ,813 ,129 ,,14 ,8 ,,1201 ,22 ,1.7 ,
PARK ,3459 ,2820 ,674 ,1623 ,293 ,3 ,122 ,17 ,,3 2735 ,85 ,3.0 ,
PHILLIPS ,2675 ,2423 ,640 ,1488 ,193 ,,29 ,3 ,,1 2354 ,69 ,2.8 ,
PITKIN ,7254 ,5614 ,1760 ,2153 ,1128 ,,285 ,83 ,4 ,4 5417 ,197 ,3.5 ,
PROWERS ,6174 ,5331 ,1669 ,3115 ,340 ,14 ,57 ,11 ,1 ,5 5212 ,119 ,2.2 ,
PUEBLO ,58312 ,50707 ,21874 ,20770 ,3102 ,19 ,585 ,64 ,18 ,9 46441 ,4266 ,8.4 ,
R10 BLANCO ,3454 ,2731 ,462 ,1971 ,143 ,1 ,63 ,6 ,1 ,2647 ,34 ,3.0 ,
R16 GRANDE ,5505 ,4688 ,1370 ,2844 ,165 ,1 ,84 ,4 ,,4488 ,200 ,4.2 ,
ROUTT ,8206 ,6833 ,1944 ,3574 ,920 ,1 ,230 ,32 ,1 ,6702 ,131 ,1.9 ,
SAGUACHE ,2676 ,2255 ,893 ,1124 ,71 ,2 ,41 ,4 ,,2135 ,120 ,5.3 ,
SAN JUAN ,685 ,574 ,146 ,268 ,94 ,,36 ,3 ,,549 ,25 ,4.3 ,
